Year,Discipline,SG_AREA,TX_COR,CO_PROVA,Question_Number,Question_Text,Skill_Number
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 146 - Matemática e suas Tecnologias,"Um  parque  tem  dois  circuitos  de  tamanhos  diferentes  para  corridas.  Um  corredor
treina nesse parque e, no primeiro dia, inicia seu treino percorrendo 3 voltas em torno do
circuito maior e 2 voltas em torno do menor, perfazendo um total de 1 800 m. Em seguida,

dando continuidade a seu treino, corre mais 2 voltas em torno do circuito maior e 1 volta
em torno do menor, percorrendo mais 1 100 m.

No segundo dia, ele pretende percorrer 5 000 m nos circuitos do parque, fazendo um
número inteiro de voltas em torno deles e de modo que o número de voltas seja o maior
possível.

A soma do número de voltas em torno dos dois circuitos, no segundo dia, será

A

10. 

B

C

13. 

14. 

D

15. 

E

16. 

/",21
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 147 - Matemática e suas Tecnologias,"Uma  equipe  de  marketing  digital  foi  contratada  para  aumentar  as  vendas  de  um
produto ofertado em um site de comércio eletrônico. Para isso, elaborou um anúncio que,
quando o cliente clica sobre ele, é direcionado para a página de vendas do produto. Esse
anúncio  foi  divulgado  em  duas  redes  sociais,  A  e  B,  e  foram  obtidos  os  seguintes
resultados:

rede  social  A:  o  anúncio  foi  visualizado  por  3  000  pessoas;  10%  delas  clicaram
sobre o anúncio e foram redirecionadas para o site; 3% das que clicaram sobre o
anúncio compraram o produto. O investimento feito para a publicação do anúncio
nessa rede foi de R$ 100,00;
rede  social  B:  o  anúncio  foi  visualizado  por  1  000  pessoas;  30%  delas  clicaram

sobre o anúncio e foram redirecionadas para o site; 2% das que clicaram sobre o
anúncio compraram o produto. O investimento feito para a publicação do anúncio
nessa rede foi de R$ 200,00.

Por  experiência,  o  pessoal  da  equipe  de  marketing  considera  que  a  quantidade  de
novas pessoas que verão o anúncio é diretamente proporcional ao investimento realizado,
e  que  a  quantidade  de  pessoas  que  comprarão  o  produto  também  se  manterá

proporcional à quantidade de pessoas que clicarão sobre o anúncio.

O responsável pelo produto decidiu, então, investir mais R$ 300,00 em cada uma das
duas  redes  sociais  para  a  divulgação  desse  anúncio  e  obteve,  de  fato,  o  aumento
proporcional  esperado  na  quantidade  de  clientes  que  compraram  esse  produto.  Para
classificar  o  aumento  obtido  na  quantidade  (Q)  de  compradores  desse  produto,  em

consequência  dessa  segunda  divulgação,  em  relação  aos  resultados  observados  na
primeira divulgação, o responsável pelo produto adotou o seguinte critério:

O aumento na quantidade de compradores, em consequência dessa segunda divulgação,
em relação ao que foi registrado com a primeira divulgação, foi classificado como

Q ≤ 60%: não satisfatório;

60% < Q ≤ 100%: regular;

100% < Q ≤ 150%: bom;

150% < Q ≤ 190%: muito bom;

190% < Q ≤ 200%: excelente.

A

não satisfatório.

B

C

regular.

bom.

D muito bom.

E

excelente.

/",17
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 148 - Matemática e suas Tecnologias,"A  luminosidade  L  de  uma  estrela  está  relacionada  com  o  raio  R  e  com  a

temperatura T dessa estrela segundo a Lei de Stefan-Boltzmann: L = c ⋅ R 
c é uma constante igual para todas as estrelas.

2 

4

⋅ T  , em que

Disponível em: http://ciencia.hsw.uol.com.br. Acesso em: 22 nov. 2013 (adaptado).

Considere  duas  estrelas  E  e  F,  sendo  que  a  estrela  E  tem  metade  do  raio  da

estrela F e o dobro da temperatura de F.

Indique por L e L suas respectivas luminosidades.

E 

F 

A relação entre as luminosidades dessas duas estrelas é dada por

A

B

C

D

E

L
E

L
F=
2

L
E

L
F=
4

L  = LE
F

L  = 4L
F

E

L  = 8L
F

E

/",15
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 149 - Matemática e suas Tecnologias,"Uma das informações que pode auxiliar no dimensionamento do número de pediatras
que devem atender em uma Unidade Básica de Saúde (UBS) é o número que representa
a  mediana  da  quantidade  de  crianças  por  família  existente  na  região  sob  sua

responsabilidade. O quadro mostra a distribuição das frequências do número de crianças
por família na região de responsabilidade de uma UBS.

Número de crianças
por família

Frequência

0

1

2

3

4

5

100

400

200

150

100

50

O  número  que  representa  a  mediana  da  quantidade  de  crianças  por  família  nessa

região é

A

1,0.

B

C

1,5.

1,9.

D

2,1.

E

2,5.

/",27
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 150 - Matemática e suas Tecnologias,"Em jogos de voleibol, um saque é invalidado se a bola atingir o teto do ginásio onde
ocorre o jogo. Um jogador de uma equipe tem um saque que atinge uma grande altura.
Seu  recorde  foi  quando  a  batida  do  saque  se  iniciou  a  uma  altura  de  1,5  m  do  piso  da

quadra,  e  a 

trajetória  da  bola 

foi  descrita  pela  parábola  y

2

x
6

x
7
3

12 ,

em  que  y  representa  a  altura  da  bola  em  relação  ao  eixo  x  (das  abscissas)  que  está
localizado  a  1,5  m  do  piso  da  quadra,  como  representado  na  figura.  Suponha  que  em
todas as partidas algum saque desse jogador atinja a mesma altura do seu recorde.

y

1,5 m

1,5 m

1,5 m

x

A  equipe  desse  jogador  participou  de  um  torneio  de  voleibol  no  qual  jogou  cinco
partidas, cada uma delas em um ginásio diferente. As alturas dos tetos desses ginásios,
em relação aos pisos das quadras, são:

• ginásio I: 17 m;

• ginásio II: 18 m;

• ginásio III: 19 m;

• ginásio IV: 21 m;

• ginásio V: 40 m.

O saque desse atleta foi invalidado

A

apenas no ginásio I.

B

C

apenas nos ginásios I e II.

apenas nos ginásios I, II e III.

D

apenas nos ginásios I, II, III e IV.

E

em todos os ginásios.

/",22
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 151 - Matemática e suas Tecnologias,"Um  médico  faz  o  acompanhamento  clínico  de  um  grupo  de  pessoas  que  realizam
atividades  físicas  diariamente.  Ele  observou  que  a  perda  média  de  massa  dessas

pessoas para cada hora de atividade física era de 1,5 kg. Sabendo que a massa de 1 L
de água é de 1 kg, ele recomendou que ingerissem, ao longo das 3 horas seguintes ao
final da atividade, uma quantidade total de água correspondente a 40% a mais do que a
massa perdida na atividade física, para evitar desidratação.

Seguindo a recomendação médica, uma dessas pessoas ingeriu, certo dia, um total

de 1,7 L de água após terminar seus exercícios físicos.

Para que a recomendação médica tenha efetivamente sido respeitada, a atividade física
dessa pessoa, nesse dia, durou

A

30 minutos ou menos.

B mais de 35 e menos de 45 minutos.

C mais de 45 e menos de 55 minutos.

D mais de 60 e menos de 70 minutos.

E

70 minutos ou mais.

/",17
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 152 - Matemática e suas Tecnologias,"Em  uma  sala  de  cinema,  para  garantir  que  os  espectadores  vejam  toda  a  imagem
projetada  na  tela,  a  disposição  das  poltronas  deve  obedecer  à  norma  técnica  da
Associação Brasileira de Normas Técnicas (ABNT), que faz as seguintes indicações:

Distância  mínima  (D )  entre  a  tela  de  projeção  e  o  encosto  da  poltrona  da

mín

primeira fileira deve ser de, pelo menos, 60% da largura (L) da tela.
Distância máxima (D ) entre a tela de projeção e o encosto da poltrona da última
fileira deve ser o dobro da largura (L) da tela, sendo aceitável uma distância de até
2,9 vezes a largura (L) da tela.

máx

Para  o  espaçamento  entre  as  fileiras  de  poltronas,  é  considerada  a  distância  de

1 metro entre os encostos de poltronas em duas fileiras consecutivas.

Uma sala de cinema, cuja largura da tela mede 12 m, está montada em conformidade

com as normas da ABNT e tem suas dimensões especificadas na figura.

Disponível em: www.ctav.gov.br. Acesso em: 14 nov. 2013.

Área de instalação
de novas poltronas

Daceitável = 2,9L

m
1

 

m
1

 

Dmáx= 2L

Dmín= 0,6L

Tela
L

Fileira

Fileira

Fileira

Pretende-se  ampliar  essa  sala,  mantendo-se  na  mesma  posição  a  tela  e  todas  as
poltronas  já  instaladas,  ampliando-se  ao  máximo  a  sala  para  os  fundos  (área  de
instalação  de  novas  poltronas),  respeitando-se  o  limite  aceitável  da  norma  da  ABNT.  A
intenção é aumentar, ao máximo, a quantidade de poltronas da sala, instalando-se novas
unidades, iguais às já instaladas.

Quantas fileiras de poltronas a sala comportará após essa ampliação?

A

26

B

C

27

28

D

29

E

35

/",18
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 153 - Matemática e suas Tecnologias,"Uma  empresa  produz  e  vende  um  tipo  de  chocolate,  maciço,  em  formato  de  cone
circular  reto  com  as  medidas  do  diâmetro  da  base  e  da  altura  iguais  a  8  cm  e  10  cm,
respectivamente, como apresenta a figura.

8 cm

10 cm

Devido  a  um  aumento  de  preço  dos  ingredientes  utilizados  na  produção  desse
chocolate,  a  empresa  decide  produzir  esse  mesmo  tipo  de  chocolate  com  um  volume
19% menor, no mesmo formato de cone circular reto com altura de 10 cm.

Para isso, a empresa produzirá esses novos chocolates com medida do raio da base, em

centímetro, igual a

A

1,52.

B

C

3,24.

3,60.

D

6,48.

E

7,20.

/",14
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 154 - Matemática e suas Tecnologias,"Em 

janeiro  de  2013, 

foram  declaradas  1 794 272  admissões  e  1 765 372
desligamentos  no  Brasil,  ou  seja,  foram  criadas  28 900  vagas  de  emprego,  segundo

dados  do  Cadastro  Geral  de  Empregados  e  Desempregados  (Caged),  divulgados  pelo
Ministério do Trabalho e Emprego (MTE). Segundo o Caged, o número de vagas criadas
em janeiro de 2013 sofreu uma queda de 75%, quando comparado com o mesmo período
de 2012.

De acordo com as informações dadas, o número de vagas criadas em janeiro de 2012 foi

Disponível em: http://portal.mte.gov.br. Acesso em: 23 fev. 2013 (adaptado).

A

16 514.

B

C

86 700.

115 600.

D

441 343.

E

448 568.

/",3
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 155 - Matemática e suas Tecnologias,"Um prédio, com 9 andares e 8 apartamentos de 2 quartos por andar, está com todos
os seus apartamentos à venda. Os apartamentos são identificados por números formados
por dois algarismos, sendo que a dezena indica o andar onde se encontra o apartamento,
e a unidade, um algarismo de 1 a 8, que diferencia os apartamentos de um mesmo andar.

Quanto à incidência de sol nos quartos desses apartamentos, constatam-se as seguintes
características, em função de seus números de identificação:

naqueles que finalizam em 1 ou 2, ambos os quartos recebem sol apenas na parte
da manhã;
naqueles que finalizam em 3, 4, 5 ou 6, apenas um dos quartos recebe sol na parte

da manhã;
naqueles que finalizam em 7 ou 8, ambos os quartos recebem sol apenas na parte
da tarde.

Uma  pessoa  pretende  comprar  2  desses  apartamentos  em  um  mesmo  andar,  mas

quer que, em ambos, pelo menos um dos quartos receba sol na parte da manhã.

De  quantas  maneiras  diferentes  essa  pessoa  poderá  escolher  2  desses  apartamentos
para compra nas condições desejadas?

!
6
6 2

!

!

6
6 2

!

!

4
4 2

!

2

!

2

!

!

2
2 2

!

2

!

A

B

C

D

E

9

9

9

9

9

!

8
8 2

!

1

2

!

/",2
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 156 - Matemática e suas Tecnologias,"O professor de artes orientou seus estudantes a realizarem a seguinte sequência de

atividades:

Dobrar  uma  folha  de  papel  em  formato  quadrado  duas  vezes,  em  sequência,  ao
longo  das  linhas  tracejadas,  conforme  ilustrado  nas  figuras  1  e  2,  para  obter  o
papel dobrado, conforme Figura 3.

⇒

O

O⇒

Figura 1

Figura 2

Figura 3

Em  seguida,  no  papel  dobrado  da  Figura  3,  considerar  o  ponto  R,  sobre
o segmento OM,  sendo  M  o  ponto  médio  do  lado  do  quadrado  original,  de  modo

que  OR  = 

  OM,  traçar  um  arco  de  circunferência  de  raio  medindo 

  OM  com

1
4

1
2

centro  no  ponto  R,  obtendo  a  Figura  4.  Por  último,  recortar  o  papel  ao  longo  do
arco  de  circunferência  e  excluir  a  parte  que  contém  o  setor  circular,  obtendo  o
papel dobrado, conforme Figura 5.

R

O

M ⇒

Figura 4

Figura 5

Após  desdobrado  o  papel  que  restou  na  Figura  5,  a  figura  plana  que  os  estudantes

obterão será

A

B

 

/

C

D

E

/",7
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 157 - Matemática e suas Tecnologias,"O  funcionário  de  uma  loja  tem  seu  salário  mensal  formado  por  uma  parcela  fixa  de
675 reais mais uma comissão que depende da quantidade de peças vendidas por ele no
mês. O cálculo do valor dessa comissão é feito de acordo com estes critérios:

até a quinquagésima peça vendida, paga-se 5 reais por peça;

a  partir  da  quinquagésima  primeira  peça  vendida,  o  valor  pago  é  de  7  reais  por
peça.

Represente por q a quantidade de peças vendidas no mês por esse funcionário, e por

S(q) o seu salário mensal, em real, nesse mês.

A expressão algébrica que descreve S(q) em função de q é

A

B

C

D

E

/",19
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 158 - Matemática e suas Tecnologias,"Ao analisar os dados de uma epidemia em uma cidade, peritos obtiveram um modelo
que  avalia  a  quantidade  de  pessoas  infectadas  a  cada  mês,  ao  longo  de  um  ano.  O

 2 

modelo é dado por p(t) = −t + 10t + 24, sendo t um número natural, variando de 1 a 12,
que representa os meses do ano, e p(t) a quantidade de pessoas infectadas no mês t do
ano. Para tentar diminuir o número de infectados no próximo ano, a Secretaria Municipal
de  Saúde  decidiu  intensificar  a  propaganda  oficial  sobre  os  cuidados  com  a  epidemia.
Foram  apresentadas  cinco  propostas  (I,  II,  III,  IV  e  V),  com  diferentes  períodos  de
intensificação das propagandas:

A sugestão dos peritos é que seja escolhida a proposta cujo período de intensificação

da  propaganda  englobe  o  mês  em  que,  segundo  o  modelo,  há  a  maior  quantidade  de
infectados. A sugestão foi aceita.

A proposta escolhida foi a

• I: 1 ≤ t ≤ 2;

• II: 3 ≤ t ≤ 4;

• III: 5 ≤ t ≤ 6;

• IV: 7 ≤ t ≤ 9;

• V: 10 ≤ t ≤ 12.

A

I.

B

C

II.

III.

D

IV.

E

V.

/",23
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 159 - Matemática e suas Tecnologias,"Um  atleta  iniciou  seu  treinamento  visando  as  competições  de  fim  de  ano.  Seu
treinamento  consiste  em  cinco  tipos  diferentes  de  treinos:  treino  T ,  treino  T ,  treino  T ,
3

2

1

treino T  e treino T . A sequência dos treinamentos deve seguir esta ordem: 

4

5

A  letra  R  significa  repouso.  Após  completar  a  sequência  de  treinamentos,  o  atleta
começa  novamente  a  sequência  a  partir  do  treino  T e  segue  a  ordem  descrita.  Após
24 semanas completas de treinamento, se dará o início das competições.

1 

A sequência de treinamentos que o atleta realizará na 24ª semana de treinos é

A

T R T R R T R.

3 

4 

5 

B R T R T R R T .
5

3 

4 

C R T R R T R T .
1

4 

5 

D R R T R T R R.
5 

1 

E R T R T R R T .
2

5 

1 

/",2
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 160 - Matemática e suas Tecnologias,"Um robô, que tem um ímã em sua base, se desloca sobre a superfície externa de um
cubo metálico, ao longo de segmentos de reta cujas extremidades são pontos médios de
arestas  e  centros  de  faces.  Ele  inicia  seu  deslocamento  no  ponto  P,  centro  da  face
superior do cubo, segue para o centro da próxima face, converte à esquerda e segue para

o  centro  da  face  seguinte,  converte  à  direita  e  continua  sua  movimentação,  sempre
alternando entre conversões à esquerda e à direita quando alcança o centro de uma face.
O robô só termina sua movimentação quando retorna ao ponto P. A figura apresenta os
deslocamentos iniciais desse robô.

P

A  projeção  ortogonal  do  trajeto  descrito  por  esse  robô  sobre  o  plano  da  base,  após

terminada  sua  movimentação,  visualizada  da  posição  em  que  se  está  enxergando  esse
cubo, é

A

B

C

D

E

/",6
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 161 - Matemática e suas Tecnologias,"Uma empresa de engenharia projetou uma casa com a forma de um retângulo para

um  de  seus  clientes.  Esse  cliente  solicitou  a  inclusão  de  uma  varanda  em  forma  de  L.
A  figura  apresenta  a  planta  baixa  desenhada  pela  empresa,  já  com  a  varanda  incluída,
cujas  medidas,  indicadas  em  centímetro,  representam  os  valores  das  dimensões  da
varanda na escala de 1 : 50.

16 cm

VARANDA

5 cm

18,4 cm

COZINHA

BANHO
SOCIAL

BANHO
SUÍTE

SUÍTE

SALA

QUARTO

QUARTO

4 cm

ESCALA 1 : 50

A medida real da área da varanda, em metro quadrado, é

A

33,40.

B

C

66,80.

89,24.

D

133,60.

E

534,40.

/",11
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 162 - Matemática e suas Tecnologias,"Uma loja de roupas fixou uma meta de vendas de 77 000 reais para um determinado
mês  de  30  dias.  O  gráfico  mostra  o  volume  de  vendas  dessa  loja,  em  real,  nos  dez

primeiros  dias  do  mês  e  entre  o  dia  dez  e  o  dia  vinte  desse  mês,  nos  seus  dois  únicos
setores (infantil e adulto). Suponha que a variação no volume de vendas, para o período
registrado,  tenha  se  dado  de  forma  linear,  como  mostrado  no  gráfico,  e  que  essa
tendência se mantenha a mesma para os próximos dez dias.

Ao final do trigésimo dia, quanto faltará no volume de vendas, em real, para que a meta

fixada para o mês seja alcançada?

A

5 000

B

C

7 000

11 000

D

18 000

E

29 000

/",24
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 163 - Matemática e suas Tecnologias,"Em  uma  universidade,  atuam  professores  que  estão  enquadrados  funcionalmente
pela  sua  maior  titulação:  mestre  ou  doutor.  Nela  há,  atualmente,  60  mestres  e
40  doutores.  Os  salários  mensais  dos  professores  mestres  e  dos  doutores  são,
respectivamente, R$ 8 000,00 e R$ 12 000,00.

A diretoria da instituição pretende proporcionar um aumento salarial diferenciado para
o ano seguinte, de tal forma que o salário médio mensal dos professores dessa instituição
não ultrapasse R$ 12 240,00. A universidade já estabeleceu que o aumento salarial será
de 25% para os mestres e precisa ainda definir o percentual de reajuste para os doutores.

Mantido o número atual de professores com suas atuais titulações, o aumento salarial, em
porcentagem, a ser concedido aos doutores deverá ser de, no máximo,

A

14,4.

B

C

20,7.

22,0.

D

30,0.

E

37,5.

/",30
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 164 - Matemática e suas Tecnologias,"Um  borrifador  de  atuação  automática  libera,  a  cada  acionamento,  uma  mesma

quantidade  de  inseticida.  O  recipiente  desse  produto,  quando  cheio,  contém  360  mL  de
inseticida,  que  duram  60  dias  se  o  borrifador  permanecer  ligado  ininterruptamente  e  for
acionado a cada 48 minutos.

A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é

A

0,125.

B

C

0,200.

4,800.

D

6,000.

E

12,000.

/",12
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 165 - Matemática e suas Tecnologias,"Definem-se  o  dia  e  o  ano  de  um  planeta  de  um  sistema  solar  como  sendo,
respectivamente, o tempo que o planeta leva para dar 1 volta completa em torno de seu
próprio eixo de rotação e o tempo para dar 1 volta completa em torno de seu Sol.

Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda
a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que
1 ano terrestre tem 365 de seus dias.

No planeta Z, seu ano corresponderia a quantos de seus dias?

A

2,5

B

C

10,0

730,0

D

13 322,5 

E

53 290,0

/",10
